year,country_id,commodity_id,total_import_tonnes,total_export_tonnes,net_import_tonnes,net_export_tonnes,number_of_suppliers,largest_supplier_share,herfindahl_hirschman_index,notes
2024,CAN,bauxite_alumina,8732583.549,189109.933,8543473.616,0,38,0.662652,0.480385,HHI is calculated over direct import suppliers only
2024,CHE,bauxite_alumina,36613.434,1589.403,35024.031,0,38,0.527946,0.371763,HHI is calculated over direct import suppliers only
2024,CHL,bauxite_alumina,1936.868,12.583,1924.285,0,14,0.352225,0.252593,HHI is calculated over direct import suppliers only
2024,CHN,bauxite_alumina,160929916.387,3051967.249,157877949,0,59,0.684096,0.534200,HHI is calculated over direct import suppliers only
2024,CIV,bauxite_alumina,80.788,722506.758,0,722425.97,7,0.928727,0.865993,HHI is calculated over direct import suppliers only
2024,CMR,bauxite_alumina,29121.672,0.001,29121.671,0,7,0.976695,0.954158,HHI is calculated over direct import suppliers only
2024,COD,bauxite_alumina,21.199,0,21.199,0,3,0.908486,0.833551,HHI is calculated over direct import suppliers only
2024,COG,bauxite_alumina,7.385,0,7.385,0,3,0.862559,0.762348,HHI is calculated over direct import suppliers only
2024,COL,bauxite_alumina,10295.069,42.591,10252.478,0,21,0.419763,0.276355,HHI is calculated over direct import suppliers only
2024,CRI,bauxite_alumina,50.351,0.116,50.235,0,18,0.486942,0.396877,HHI is calculated over direct import suppliers only
2024,CUB,bauxite_alumina,71.692,0,71.692,0,3,0.926184,0.862104,HHI is calculated over direct import suppliers only
2024,CUW,bauxite_alumina,0,6,0,6,0,0.000000,0.000000,HHI is calculated over direct import suppliers only
2024,CYP,bauxite_alumina,5566.151,2.348,5563.803,0,13,0.999116,0.998232,HHI is calculated over direct import suppliers only
2024,CZE,bauxite_alumina,49505.91,13698.822,35807.088,0,28,0.250447,0.157317,HHI is calculated over direct import suppliers only
2024,DEU,bauxite_alumina,2757398.869,633363.507,2124035.362,0,52,0.791911,0.640399,HHI is calculated over direct import suppliers only
2024,DJI,bauxite_alumina,40,0,40,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,DMA,bauxite_alumina,5,0,5,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,DNK,bauxite_alumina,27579.334,319.972,27259.362,0,26,0.515875,0.418481,HHI is calculated over direct import suppliers only
2024,DOM,bauxite_alumina,6165.992,0.039,6165.953,0,12,0.867795,0.759311,HHI is calculated over direct import suppliers only
2024,DZA,bauxite_alumina,15193.511,0.002,15193.509,0,16,0.648603,0.460089,HHI is calculated over direct import suppliers only
2024,ECU,bauxite_alumina,6163.735,72,6091.735,0,16,0.926540,0.860633,HHI is calculated over direct import suppliers only
2024,EGY,bauxite_alumina,489892.683,15.02,489877.663,0,29,0.309337,0.230402,HHI is calculated over direct import suppliers only
2024,ERI,bauxite_alumina,1.193,0,1.193,0,3,0.430008,0.374895,HHI is calculated over direct import suppliers only
