country_id,iso3_code,country_name,region,subregion,latitude,longitude,valid_from,valid_to,notes
MYS,MYS,Malaysia,,,3.6716608556387857,114.63330303992869,1970,,BACI country_code=458; centroid source=world-countries-centroids
MYT,MYT,Mayotte,,,-12.824468416301052,45.128142327031064,1970,,BACI country_code=175; centroid source=world-countries-centroids
NCL,NCL,New Caledonia,,,-21.33003372660827,165.50767040438612,1970,,BACI country_code=540; centroid source=world-countries-centroids
NER,NER,Niger,,,17.08105392407292,8.86863247002646,1970,,BACI country_code=562; centroid source=world-countries-centroids
NFK,NFK,Norfolk Island,,,-29.037654445046282,167.95259597483337,1970,,BACI country_code=574; centroid source=world-countries-centroids
NGA,NGA,Nigeria,,,9.61029352034213,8.147714845256194,1970,,BACI country_code=566; centroid source=world-countries-centroids
NIC,NIC,Nicaragua,,,12.893566631930554,-85.016088327669,1970,,BACI country_code=558; centroid source=world-countries-centroids
NIU,NIU,Niue,,,-19.05230921680393,-169.86878106699083,1970,,BACI country_code=570; centroid source=world-countries-centroids
NLD,NLD,Netherlands,,,52.134054128923886,5.554136426128487,1970,,BACI country_code=528; centroid source=world-countries-centroids
NOR,NOR,Norway,,,64.97775882947745,16.670259272390894,1970,,BACI country_code=579; centroid source=world-countries-centroids
NPL,NPL,Nepal,,,28.300920699755657,84.1338898313567,1970,,BACI country_code=524; centroid source=world-countries-centroids
NRU,NRU,Nauru,,,-0.5221021440668993,166.92937633139178,1970,,BACI country_code=520; centroid source=world-countries-centroids
NZL,NZL,New Zealand,,,-43.82765432544426,170.69035541428696,1970,,BACI country_code=554; centroid source=world-countries-centroids
OMN,OMN,Oman,,,20.7242833183209,55.841088119829,1970,,BACI country_code=512; centroid source=world-countries-centroids
PAK,PAK,Pakistan,,,30.116188371410882,69.08835090769651,1970,,BACI country_code=586; centroid source=world-countries-centroids
PAN,PAN,Panama,,,8.439536749576892,-80.14428761482796,1970,,BACI country_code=591; centroid source=world-countries-centroids
PCN,PCN,Pitcairn,,,-24.366121747565458,-128.3149848627581,1970,,BACI country_code=612; centroid source=world-countries-centroids
PER,PER,Peru,,,-8.522717984240291,-74.11416196781884,1970,,BACI country_code=604; centroid source=world-countries-centroids
PHL,PHL,Philippines,,,15.586542251094242,121.82208941416745,1970,,BACI country_code=608; centroid source=world-countries-centroids
PLW,PLW,Palau,,,7.534775852547396,134.57965086721052,1970,,BACI country_code=585; centroid source=world-countries-centroids
PNG,PNG,Papua New Guinea,,,-7.156912819152135,144.8348942994695,1970,,BACI country_code=598; centroid source=world-countries-centroids
POL,POL,Poland,,,52.06848055692473,19.43573279234468,1970,,BACI country_code=616; centroid source=world-countries-centroids
PRK,PRK,North Korea,,,40.19198091470839,127.3379805653744,1970,,BACI country_code=408; centroid source=world-countries-centroids
PRT,PRT,Portugal,,,39.67529214702138,-7.933662183874006,1970,,BACI country_code=620; centroid source=world-countries-centroids
PRY,PRY,Paraguay,,,-23.42190559259428,-58.38906357428651,1970,,BACI country_code=600; centroid source=world-countries-centroids
PSE,PSE,Palestinian Territory,,,31.930818736453883,35.24251184154588,1970,,BACI country_code=275; centroid source=world-countries-centroids
PYF,PYF,French Polynesia,,,-17.674684080120677,-149.40041671099763,1970,,BACI country_code=258; centroid source=world-countries-centroids
